JD;Magnitude;Error;Facility;Filter;Owner
2457106.383;17.61;0.0;;G_Gaia;
2457106.457;17.6;0.0;;G_Gaia;
2457132.703;17.6;0.0;;G_Gaia;
2457269.407;17.64;0.0;;G_Gaia;
2457269.481;17.64;0.0;;G_Gaia;
2457297.469;17.63;0.0;;G_Gaia;
2457321.139;17.64;0.0;;G_Gaia;
2457321.213;17.63;0.0;;G_Gaia;
2457456.509;17.63;0.0;;G_Gaia;
2457486.424;17.65;0.0;;G_Gaia;
2457486.498;17.65;0.0;;G_Gaia;
2457507.677;17.61;0.0;;G_Gaia;
2457507.751;17.65;0.0;;G_Gaia;
2457645.205;17.58;0.0;;G_Gaia;
2457645.279;17.61;0.0;;G_Gaia;
2457695.434;17.55;0.0;;G_Gaia;
2457695.508;17.57;0.0;;G_Gaia;
2457832.042;16.68;0.0;;G_Gaia;
2457832.116;16.66;0.0;;G_Gaia;
2457867.524;14.88;0.0;;G_Gaia;
2457881.105;14.62;0.0;;G_Gaia;
2457881.281;14.67;0.0;;G_Gaia;
2457881.355;14.63;0.0;;G_Gaia;
2457963.3906655;16.13949966430664;0.3423432569648878;;r;
2457965.5038993;14.887700080871582;0.2674511214492434;;J;
2457965.5050932;14.84749984741211;0.2754937380109084;;J;
2457975.59638426;16.722999572753906;0.230941784966023;;i;
2457975.59744213;16.73889923095703;0.2370962701727913;;i;
2457975.59849653;16.84440040588379;0.284311953926834;;i;
2457975.600875;17.447599411010742;0.3540830975750788;;r;
2457975.6019294;17.160600662231445;0.2416553854248118;;r;
2457975.60298496;17.101600646972656;0.2292911860528612;;r;
2457975.60535301;17.98080062866211;0.2238223074668482;;g;
2457975.60640972;18.01440048217773;0.2318490439430473;;g;
2457975.60746644;18.08550071716309;0.2076356664405818;;g;
2457979.61541783;16.662799835205078;0.1486624744079569;;i;
2457979.61690047;16.662500381469727;0.1421397158005181;;i;
2457979.61818866;16.664899826049805;0.1375224136139542;;i;
2457979.619522;17.153499603271484;0.1646744207654756;;r;
2457979.62057871;17.131200790405273;0.1647768661518834;;r;
2457979.62163541;17.15130043029785;0.167694171006594;;r;
2457979.62400115;17.933700561523438;0.1951330642839588;;g;
2457979.62505786;17.971900939941406;0.1897227632304692;;g;
2457979.62611574;17.98430061340332;0.1884760504481949;;g;
2457980.56208796;16.688100814819336;0.1370419612291696;;i;
2457980.56337616;16.683000564575195;0.1337229859308962;;i;
2457980.56471065;17.125699996948242;0.1577238274968035;;r;
2457980.56576736;17.129899978637695;0.1582223737491901;;r;
2457980.56682523;17.118000030517578;0.1548337826835802;;r;
2457980.56919213;17.996200561523438;0.1616693439793066;;g;
2457980.57025;17.982799530029297;0.1658156969936083;;g;
2457980.57130671;18.017900466918945;0.1628557998700416;;g;
2457981.53991551;16.644899368286133;0.1893947462317594;;i;
2457981.54120718;16.664600372314453;0.1581408406859436;;i;
2457981.54255092;17.109399795532227;0.185782550281654;;r;
2457981.54361111;17.09939956665039;0.1796434822655608;;r;
2457981.54467246;17.144100189208984;0.1783744276455196;;r;
2457981.54703704;17.979000091552734;0.1989518422502028;;g;
2457981.54810069;17.990299224853516;0.2006993710974879;;g;
2457981.54915509;17.98069953918457;0.1934437133250877;;g;
2457982.55911343;16.68630027770996;0.1350499620435292;;i;
2457982.56040625;16.689899444580078;0.1377915421047153;;i;
2457982.56174769;17.150100708007812;0.1608400160014951;;r;
2457982.56280903;17.124799728393555;0.1623393850062206;;r;
2457982.56386922;17.165000915527344;0.1623363339908025;;r;
2457982.56623264;18.0093994140625;0.168871929959873;;g;
2457982.56729282;17.969200134277344;0.1644662369171844;;g;
2457982.56835417;18.005800247192383;0.167124367654736;;g;
2457983.58394444;16.650299072265625;0.1386346499692749;;i;
2457983.58506134;16.668899536132812;0.144752715077909;;i;
2457983.5861956;17.1289005279541;0.1580588062875677;;r;
2457983.58707755;17.146799087524414;0.1562149545488517;;r;
2457983.58796065;17.144800186157227;0.1580664694168952;;r;
2457983.59064005;18.02580070495605;0.1724519499595634;;g;
2457983.59152315;18.02989959716797;0.1755157311376662;;g;
2457983.59240509;17.981399536132812;0.1767006686696307;;g;
2457984.60391089;16.685400009155273;0.1933057711480105;;i;
2457984.60502546;16.679399490356445;0.165339010814608;;i;
2457984.60615162;17.141799926757812;0.1731365463667275;;r;
2457984.60703472;17.177200317382812;0.1785254765432467;;r;
2457984.60791666;17.19379997253418;0.200839091158247;;r;
2457984.61060185;16.95240020751953;0.4196352158294458;;G;
2457984.61237153;17.02199935913086;0.4387470457591595;;G;
2457985.60056019;16.6924991607666;0.1649437319021252;;i;
2457985.60167476;16.713600158691406;0.2245802924233342;;i;
2457985.60279977;17.234800338745117;0.2076009641893413;;r;
2457985.60368287;17.177400588989258;0.206242294365544;;r;
2457985.60456365;17.155799865722656;0.1957795967089403;;r;
2457985.60725;18.16309928894043;0.2724601124198773;;g;
2457985.60813195;18.190099716186523;0.2371747579127287;;g;
2457985.60901505;18.037399291992188;0.2560816347524567;;g;
2458017.61316898;16.93630027770996;0.2560464336133494;;i;
2458017.61474537;16.935100555419922;0.248383658879657;;i;
2458021.06;17.41;0.0;;G_Gaia;
2458021.134;17.4;0.0;;G_Gaia;
2458058.353;17.53;0.0;;G_Gaia;
2458058.529;17.51;0.0;;G_Gaia;
2458058.603;17.51;0.0;;G_Gaia;
2458068.033;17.53;0.0;;G_Gaia;
2458068.107;17.55;0.0;;G_Gaia;
2458068.284;17.55;0.0;;G_Gaia;
2458068.358;17.57;0.0;;G_Gaia;
2458159.681;17.63;0.0;;G_Gaia;
2458207.842;17.63;0.0;;G_Gaia;
2458346.126;17.63;0.0;;G_Gaia;
2458346.2;17.67;0.0;;G_Gaia;
2458362.88;17.63;0.0;;G_Gaia;
2458362.954;17.6;0.0;;G_Gaia;
2458533.152;17.63;0.0;;G_Gaia;
2458552.904;17.64;0.0;;G_Gaia;
2458552.978;17.64;0.0;;G_Gaia;
2458583.465;17.62;0.0;;G_Gaia;
2458740.121;17.65;0.0;;G_Gaia;
2458740.195;17.62;0.0;;G_Gaia;
2458770.673;17.62;0.0;;G_Gaia;
