JD;Magnitude;Error;Facility;Filter;Owner
2457109.457;20.24;0.0;;G_Gaia;
2457455.017;20.35;0.0;;G_Gaia;
2457490.5;20.2;0.0;;G_Gaia;
2457504.257;20.19;0.0;;G_Gaia;
2457782.509;20.26;0.0;;G_Gaia;
2457795.896;20.16;0.0;;G_Gaia;
2457967.153;19.03;0.0;;G_Gaia;
2457983.907;18.61;0.0;;G_Gaia;
2457984.083;18.61;0.0;;G_Gaia;
2458156.185;20.05;0.0;;G_Gaia;
2458206.424;20.16;0.0;;G_Gaia;
2458341.375;20.2;0.0;;G_Gaia;
2458341.449;20.32;0.0;;G_Gaia;
2458393.858;20.14;0.0;;G_Gaia;
2458530.731;20.31;0.0;;G_Gaia;
2458555.653;20.26;0.0;;G_Gaia;
2458581.899;20.18;0.0;;G_Gaia;
2458581.973;20.35;0.0;;G_Gaia;
2458742.949;20.19;0.0;;G_Gaia;
2458925.113;20.35;0.0;;G_Gaia;
2458925.113;20.36;0.0;;G_Gaia;
2458925.187;20.29;0.0;;G_Gaia;
2458948.474;20.3;0.0;;G_Gaia;
2458948.65;20.23;0.0;;G_Gaia;
2459072.948;20.3;0.0;;G_Gaia;
