JD;Magnitude;Error;Facility;Filter;Owner
2458575.8889991;14.220171928405762;0.3719589718050426;TRT-SBO0.7 Supachai Awipan;V(APASS);TRT-SBO0.7 Supachai Awipan
2458575.8898416;13.455288887023926;0.1103068076917068;TRT-SBO0.7 Supachai Awipan;i(APASS);TRT-SBO0.7 Supachai Awipan
2458576.8880887;14.134147644042969;0.3949478183895801;TRT-SBO0.7 Supachai Awipan;V(APASS);TRT-SBO0.7 Supachai Awipan
2458576.888927;13.35417938232422;0.1062560390019816;TRT-SBO0.7 Supachai Awipan;i(APASS);TRT-SBO0.7 Supachai Awipan
2458577.8872491;14.323262214660645;0.3071500257818388;TRT-SBO0.7 Supachai Awipan;V(APASS);TRT-SBO0.7 Supachai Awipan
2458577.8880708;13.503538131713867;0.0977930264502324;TRT-SBO0.7 Supachai Awipan;i(APASS);TRT-SBO0.7 Supachai Awipan
2458578.88585;14.33933448791504;0.3728216985152413;TRT-SBO0.7 Supachai Awipan;V(APASS);TRT-SBO0.7 Supachai Awipan
2458578.8866756;13.527196884155272;0.0960509203206624;TRT-SBO0.7 Supachai Awipan;i(APASS);TRT-SBO0.7 Supachai Awipan
2458579.8858995;14.30685806274414;0.4393740063076183;TRT-SBO0.7 Supachai Awipan;V(APASS);TRT-SBO0.7 Supachai Awipan
2458579.8867431;13.368989944458008;0.0939856658217514;TRT-SBO0.7 Supachai Awipan;i(APASS);TRT-SBO0.7 Supachai Awipan
2458580.9266908;14.069828033447266;0.4131669928940826;TRT-SBO0.7 Supachai Awipan;V(APASS);TRT-SBO0.7 Supachai Awipan
2458580.9275206;13.39955234527588;0.0779479823253472;TRT-SBO0.7 Supachai Awipan;i(APASS);TRT-SBO0.7 Supachai Awipan
2458581.9259245;14.399239540100098;0.41992273958837;TRT-SBO0.7 Supachai Awipan;V(APASS);TRT-SBO0.7 Supachai Awipan
2458581.9267665;13.470008850097656;0.1032410855666724;TRT-SBO0.7 Supachai Awipan;i(APASS);TRT-SBO0.7 Supachai Awipan
2458582.9761626;14.36890983581543;0.3962040787859836;TRT-SBO0.7 Supachai Awipan;V(APASS);TRT-SBO0.7 Supachai Awipan
2458582.9773623;13.60692024230957;0.074742248520771;TRT-SBO0.7 Supachai Awipan;i(APASS);TRT-SBO0.7 Supachai Awipan
2458585.0767312;14.444859504699709;0.3806954914325018;TRT-SBO0.7 Supachai Awipan;V(APASS);TRT-SBO0.7 Supachai Awipan
