JD;Magnitude;Error;Facility;Filter;Owner
2456992.424;19.01;0.0;;G_Gaia;
2457069.909;18.96;0.0;;G_Gaia;
2457070.159;18.97;0.0;;G_Gaia;
2457087.843;19.0;0.0;;G_Gaia;
2457088.093;19.01;0.0;;G_Gaia;
2457088.167;18.94;0.0;;G_Gaia;
2457129.151;19.03;0.0;;G_Gaia;
2457394.72;19.0;0.0;;G_Gaia;
2457469.391;19.0;0.0;;G_Gaia;
2457469.391;18.99;0.0;;G_Gaia;
2457469.465;18.98;0.0;;G_Gaia;
2457505.876;18.98;0.0;;G_Gaia;
2457542.1;18.99;0.0;;G_Gaia;
2457542.174;18.98;0.0;;G_Gaia;
2457561.427;19.03;0.0;;G_Gaia;
2457607.792;18.98;0.0;;G_Gaia;
2457607.866;18.96;0.0;;G_Gaia;
2457615.37;18.98;0.0;;G_Gaia;
2457615.62;19.01;0.0;;G_Gaia;
2457681.484;18.99;0.0;;G_Gaia;
2457714.709;19.01;0.0;;G_Gaia;
2457772.019;19.0;0.0;;G_Gaia;
2457772.195;19.0;0.0;;G_Gaia;
2457772.269;18.98;0.0;;G_Gaia;
2457824.741;19.01;0.0;;G_Gaia;
2457824.815;18.97;0.0;;G_Gaia;
2457850.067;18.97;0.0;;G_Gaia;
2457850.067;18.96;0.0;;G_Gaia;
2457921.272;19.01;0.0;;G_Gaia;
2457937.276;18.98;0.0;;G_Gaia;
2457993.216;18.98;0.0;;G_Gaia;
2457993.392;18.99;0.0;;G_Gaia;
2458036.337;18.98;0.0;;G_Gaia;
2458036.337;18.97;0.0;;G_Gaia;
2458135.545;18.99;0.0;;G_Gaia;
2458135.795;18.98;0.0;;G_Gaia;
2458135.869;18.98;0.0;;G_Gaia;
2458150.376;18.97;0.0;;G_Gaia;
2458150.626;19.01;0.0;;G_Gaia;
2458230.111;19.01;0.0;;G_Gaia;
2458300.238;19.02;0.0;;G_Gaia;
2458300.312;18.99;0.0;;G_Gaia;
2458313.067;18.92;0.0;;G_Gaia;
2458359.75;18.95;0.0;;G_Gaia;
2458359.926;18.98;0.0;;G_Gaia;
2458439.444;18.99;0.0;;G_Gaia;
2458467.611;18.97;0.0;;G_Gaia;
2458517.17;18.94;0.0;;G_Gaia;
2458517.42;18.91;0.0;;G_Gaia;
2458531.353;18.87;0.0;;G_Gaia;
2458531.854;18.9;0.0;;G_Gaia;
2458531.928;18.94;0.0;;G_Gaia;
2458636.9070023;18.7817501190477;0.1941300530937283;;r_ZTF;
2458637.9236574;18.771970920341456;0.1790260511311578;;r_ZTF;
2458641.9625116;18.76897178320941;0.2120216336524321;;r_ZTF;
2458642.9543056;18.76346359069216;0.1785439249000213;;r_ZTF;
2458645.9784954;18.651646528702827;0.1536832568232926;;r_ZTF;
2458646.9793403;18.721502959826186;0.2143816899155062;;r_ZTF;
2458658.8861806;18.756177413215426;0.2055716128948846;;r_ZTF;
2458662.8275579;18.637016423339503;0.1661205133585346;;r_ZTF;
2458663.8518287;18.64982683444726;0.1467910047957077;;r_ZTF;
2458666.8467245;18.67900934865147;0.1228053363737612;;r_ZTF;
2458667.8122454;18.6587450941016;0.1517333021111702;;r_ZTF;
2458668.8420023;18.62076454504853;0.1137816176939757;;r_ZTF;
2458669.9057176;18.68136002763101;0.1639539298195239;;r_ZTF;
2458669.9061806;18.66384545806517;0.1314198639526554;;r_ZTF;
2458670.8841088;18.70958157958569;0.1406458600855236;;r_ZTF;
2458670.8963194;18.67053056894621;0.1745414763534098;;r_ZTF;
2458674.8054514;18.68226079876124;0.1550575867101137;;r_ZTF;
2458674.8059144;18.58547324659626;0.1419103018594563;;r_ZTF;
2458675.7820718;18.672268575384123;0.2077917533334473;;r_ZTF;
2458675.7825347;18.72144505670087;0.1721898763344431;;r_ZTF;
2458676.7793287;18.62312561885484;0.1903022998548592;;r_ZTF;
2458677.7861806;18.6855858509173;0.1770770541514414;;r_ZTF;
2458678.777;18.48;0.0;;G_Gaia;
2458678.851;18.46;0.0;;G_Gaia;
2458685.8585069;18.68744234917708;0.1912862538771875;;r_ZTF;
2458687.545795;18.741600036621094;0.1717805224658556;;r;
2458687.545795;18.74156951904297;0.1717810353189505;Liam Hardy pt5m;r(APASS);Liam Hardy pt5m
2458688.8774769;18.68143648644748;0.2034038659019139;;r_ZTF;
2458690.8433218;18.62884995370404;0.153717413707098;;r_ZTF;
2458691.8610995;18.688712595611875;0.1580078101661481;;r_ZTF;
2458693.8472338;18.646072523980287;0.15810121142066;;r_ZTF;
2458696.7927315;18.70383048467102;0.1752337955707609;;r_ZTF;
2458697.8137037;18.72105051923974;0.1740234206913254;;r_ZTF;
2458697.8202662;18.697552269962447;0.1940847385130017;;r_ZTF;
2458700.7987731;18.632054015592523;0.1785563459161332;;r_ZTF;
2458702.7946296;18.766022342451745;0.186725428774955;;r_ZTF;
2458703.205;18.51;0.0;;G_Gaia;
2458704.508039;18.93779945373535;0.1929243369973292;;r;
2458704.508039;18.937843322753903;0.1929243911273077;Liam Hardy pt5m;r(APASS);Liam Hardy pt5m
2458704.7977199;18.6633322293823;0.1879155777514804;;r_ZTF;
2458709.7091551;18.589965289395963;0.1857367477433728;;r_ZTF;
2458715.7548032;18.70183441302077;0.1760046069821976;;r_ZTF;
2458716.7759954;18.69579287800491;0.1787253439232059;;r_ZTF;
2458717.7549306;18.687531495517383;0.1462159960751698;;r_ZTF;
2458718.142;18.52;0.0;;G_Gaia;
2458718.216;18.5;0.0;;G_Gaia;
2458718.467;18.45;0.0;;G_Gaia;
2458718.7766551;18.69239400113121;0.1637938837840304;;r_ZTF;
2458720.7759028;18.72982858570824;0.179676606757901;;r_ZTF;
2458720.7763657;18.67322895680375;0.1921336473176851;;r_ZTF;
2458722.7550579;18.638799797914885;0.1329111404763067;;r_ZTF;
2458723.7798611;18.747318629251545;0.150431701973544;;r_ZTF;
2458723.7803125;18.71766112815948;0.1811878644096567;;r_ZTF;
2458724.7803935;18.705900251383525;0.1760049321731651;;r_ZTF;
2458727.7797338;18.71920813671329;0.1350641632485453;;r_ZTF;
2458730.7552662;18.717127825734657;0.1521019926169645;;r_ZTF;
2458730.7557292;18.730076256820848;0.2108810406283707;;r_ZTF;
2458732.7542014;18.721280870376496;0.175337054018482;;r_ZTF;
2458733.7542593;18.728222648483893;0.2115868421765742;;r_ZTF;
2458734.48003584;17.504375457763672;0.1118638034624017;ARISTARCHOS_TEK2K, Przemek Mikolajczyk;i(APASS);ARISTARCHOS_TEK2K, Przemek Mikolajczyk
2458734.4964838;18.36688804626465;0.1247976750453926;ARISTARCHOS_TEK2K, Przemek Mikolajczyk;G(GAIA);ARISTARCHOS_TEK2K, Przemek Mikolajczyk
2458734.49960536;17.552452087402344;0.0968822381411962;ARISTARCHOS_TEK2K, P;i(APASS);ARISTARCHOS_TEK2K, P
2458734.5007627;19.95283889770508;0.0890007226540555;ARISTARCHOS_TEK2K, Przemek Mikolajczyk;g(APASS);ARISTARCHOS_TEK2K, Przemek Mikolajczyk
2458734.50973148;18.39862060546875;0.1196860072428356;ARISTARCHOS_TEK2K, Przemek Mikolajczyk;G(GAIA);ARISTARCHOS_TEK2K, Przemek Mikolajczyk
2458734.51459954;19.949745178222656;0.0612577373295714;ARISTARCHOS_TEK2K, Przemek Mikolajczyk;g(APASS);ARISTARCHOS_TEK2K, Przemek Mikolajczyk
2458734.7551157;18.682178813148184;0.2149472039178093;;r_ZTF;
2458745.6177083;18.70424368898708;0.1850554908897351;;r_ZTF;
2458754.6355093;18.6569407013364;0.1366910587021118;;r_ZTF;
2458754.6449421;18.675362344879797;0.1498141642853358;;r_ZTF;
2458775.6040856;18.53802498277623;0.1578769480564669;;r_ZTF;
2458775.7052778;18.567026220095265;0.1591708005837564;;r_ZTF;
2458781.5955671;18.577594514435933;0.1998578182270377;;r_ZTF;
2458785.5940046;18.447643617774865;0.1124129866369801;;r_ZTF;
2458788.6025926;18.421767679252824;0.1501641432301312;;r_ZTF;
2458788.6030556;18.41625884508126;0.1506115245134845;;r_ZTF;
2458791.5845486;18.374452911823013;0.1263849021735777;;r_ZTF;
2458791.5998495;18.45134285669745;0.1489920943644206;;r_ZTF;
2458796.594;18.17;0.0;;G_Gaia;
2458797.5909259;18.32377983962918;0.1389159878913696;;r_ZTF;
2458801.5803472;18.24367885415769;0.1440970344980824;;r_ZTF;
2458807.7393418;19.1289005279541;0.0728150395711453;;V;
2458807.7393418;19.128931045532227;0.0728150764710682;LCOGT2m, Etienne Bachelet;V(APASS);LCOGT2m, Etienne Bachelet
2458807.7431986;17.005599975585938;0.0996039537649682;;i;
2458807.7431986;17.005605697631836;0.0996039537649682;LCOGT2m, Etienne Bachelet;i(APASS);LCOGT2m, Etienne Bachelet
2458808.7392362;19.13909912109375;0.0689730716386081;;V;
2458808.7392362;19.139083862304688;0.0689730859125801;LCOGT2m, Etienne Bac;V(APASS);LCOGT2m, Etienne Bac
2458808.7431014;16.984399795532227;0.1023551923009094;;i;
2458808.7431014;16.9843807220459;0.1023550210684602;LCOGT2m, Etienne Bachelet;i(APASS);LCOGT2m, Etienne Bachelet
2458808.7488162;19.12592887878418;0.0688881200364162;LCOGT2m, Etienne Bachelet;V(APASS);LCOGT2m, Etienne Bachelet
2458808.7488162;19.125900268554688;0.068888149260869;;V;
2458808.7526762;16.983600616455078;0.1005699241600724;;i;
2458808.7526762;16.983558654785156;0.1005696561016491;LCOGT2m, Etienne Bachelet;i(APASS);LCOGT2m, Etienne Bachelet
2458810.6904172;19.067800521850582;0.0726891727476668;;V;
2458810.6904172;19.06775665283203;0.072689194305582;LCOGT2m, Etienne Bachelet;V(APASS);LCOGT2m, Etienne Bachelet
2458810.7204465;19.093900680541992;0.0701212288016711;;V;
2458810.7204465;19.09390640258789;0.0701211778712028;LCOGT2m, Etienne Bac;V(APASS);LCOGT2m, Etienne Bac
2458810.7243112;16.943099975585938;0.1009769393742124;;i;
