JD;Magnitude;Error;Facility;Filter;Owner
2457105.623;18.78;0;;G_Gaia;
2457128.697;18.7;0;;G_Gaia;
2457270.167;18.74;0;;G_Gaia;
2457270.241;18.75;0;;G_Gaia;
2457301.149;18.74;0;;G_Gaia;
2457321.223;18.76;0;;G_Gaia;
2457453.181;18.77;0;;G_Gaia;
2457485.915;18.74;0;;G_Gaia;
2457502.994;18.75;0;;G_Gaia;
2457503.17;18.77;0;;G_Gaia;
2457645.964;18.72;0;;G_Gaia;
2457682.188;18.72;0;;G_Gaia;
2457682.262;18.73;0;;G_Gaia;
2457694.267;18.73;0;;G_Gaia;
2457783.822;18.75;0;;G_Gaia;
2457783.998;18.71;0;;G_Gaia;
2457784.248;18.67;0;;G_Gaia;
2457784.322;18.73;0;;G_Gaia;
2457784.498;18.76;0;;G_Gaia;
2457789.252;18.75;0;;G_Gaia;
2457789.502;18.75;0;;G_Gaia;
2457789.576;18.71;0;;G_Gaia;
2457789.752;18.72;0;;G_Gaia;
2457789.826;18.76;0;;G_Gaia;
2457828.788;18.71;0;;G_Gaia;
2457867.765;18.74;0;;G_Gaia;
2457867.839;18.73;0;;G_Gaia;
2457868.015;18.72;0;;G_Gaia;
2457868.089;18.76;0;;G_Gaia;
2457874.843;18.72;0;;G_Gaia;
2457875.019;18.7;0;;G_Gaia;
2457875.093;18.74;0;;G_Gaia;
2457971.841;18.74;0;;G_Gaia;
2457971.915;18.77;0;;G_Gaia;
2457972.091;18.77;0;;G_Gaia;
2457972.165;18.73;0;;G_Gaia;
2457986.095;18.71;0;;G_Gaia;
2457986.169;18.7;0;;G_Gaia;
2458155.098;18.7;0;;G_Gaia;
2458155.172;18.75;0;;G_Gaia;
2458204.337;18.71;0;;G_Gaia;
2458204.411;18.71;0;;G_Gaia;
2458345.885;18.76;0;;G_Gaia;
2458366.958;18.7;0;;G_Gaia;
2458397.441;18.74;0;;G_Gaia;
2458529.145;18.6;0;;G_Gaia;
2458552.144;18.69;0;;G_Gaia;
2458552.218;18.69;0;;G_Gaia;
2458579.887;18.51;0;;G_Gaia;
2458715.097;17.0;0;;G_Gaia;
2458715.171;17.03;0;;G_Gaia;
2458739.38;17.81;0;;G_Gaia;
2458901.31;18.65;0;;G_Gaia;
2458927.104;18.63;0;;G_Gaia;
2458927.104;18.62;0;;G_Gaia;
2458927.178;18.64;0;;G_Gaia;
2458952.219;18.76;0;;G_Gaia;
2458952.395;18.7;0;;G_Gaia;
