JD;Magnitude;Error;Facility;Filter;Owner
2456977.575;18.58;0.0;;G_Gaia;
2456986.006;18.54;0.0;;G_Gaia;
2456986.08;18.51;0.0;;G_Gaia;
2457028.2;18.6;0.0;;G_Gaia;
2457049.448;18.58;0.0;;G_Gaia;
2457049.522;18.55;0.0;;G_Gaia;
2457223.409;18.61;0.0;;G_Gaia;
2457255.144;18.62;0.0;;G_Gaia;
2457255.218;18.62;0.0;;G_Gaia;
2457293.928;18.52;0.0;;G_Gaia;
2457294.104;18.58;0.0;;G_Gaia;
2457353.289;18.57;0.0;;G_Gaia;
2457353.363;18.57;0.0;;G_Gaia;
2457428.313;18.53;0.0;;G_Gaia;
2457458.302;18.54;0.0;;G_Gaia;
2457505.214;18.6;0.0;;G_Gaia;
2457505.464;18.59;0.0;;G_Gaia;
2457505.715;18.58;0.0;;G_Gaia;
2457505.789;18.6;0.0;;G_Gaia;
2457672.392;18.5;0.0;;G_Gaia;
2457672.466;18.49;0.0;;G_Gaia;
2457684.146;18.58;0.0;;G_Gaia;
2457684.22;18.58;0.0;;G_Gaia;
2457741.083;18.55;0.0;;G_Gaia;
2457741.157;18.56;0.0;;G_Gaia;
2457779.54;18.57;0.0;;G_Gaia;
2457807.338;18.57;0.0;;G_Gaia;
2457807.412;18.56;0.0;;G_Gaia;
2457835.158;18.54;0.0;;G_Gaia;
2457835.334;18.52;0.0;;G_Gaia;
2457886.823;18.51;0.0;;G_Gaia;
2457886.897;18.53;0.0;;G_Gaia;
2457887.073;18.53;0.0;;G_Gaia;
2457887.147;18.54;0.0;;G_Gaia;
2457887.323;18.51;0.0;;G_Gaia;
2457887.397;18.5;0.0;;G_Gaia;
2457903.831;18.61;0.0;;G_Gaia;
2457903.905;18.55;0.0;;G_Gaia;
2457904.082;18.62;0.0;;G_Gaia;
2457904.156;18.61;0.0;;G_Gaia;
2457904.332;18.58;0.0;;G_Gaia;
2457950.638;18.6;0.0;;G_Gaia;
2457983.298;18.63;0.0;;G_Gaia;
2458050.237;18.54;0.0;;G_Gaia;
2458050.311;18.56;0.0;;G_Gaia;
2458050.487;18.56;0.0;;G_Gaia;
2458059.742;18.54;0.0;;G_Gaia;
2458059.816;18.59;0.0;;G_Gaia;
2458103.75;18.6;0.0;;G_Gaia;
2458119.179;18.54;0.0;;G_Gaia;
2458186.882;18.59;0.0;;G_Gaia;
2458186.956;18.62;0.0;;G_Gaia;
2458212.208;18.52;0.0;;G_Gaia;
2458212.384;18.53;0.0;;G_Gaia;
2458287.131;18.59;0.0;;G_Gaia;
2458327.862;18.57;0.0;;G_Gaia;
2458383.835;18.59;0.0;;G_Gaia;
2458427.525;18.51;0.0;;G_Gaia;
2458427.599;18.58;0.0;;G_Gaia;
2458427.775;18.56;0.0;;G_Gaia;
2458435.529;18.53;0.0;;G_Gaia;
2458435.603;18.58;0.0;;G_Gaia;
2458478.968;18.59;0.0;;G_Gaia;
2458479.042;18.62;0.0;;G_Gaia;
2458497.293;18.61;0.0;;G_Gaia;
2458567.427;18.63;0.0;;G_Gaia;
2458567.501;18.54;0.0;;G_Gaia;
2458589.683;18.45;0.0;;G_Gaia;
2458589.757;18.53;0.0;;G_Gaia;
2458589.934;18.53;0.0;;G_Gaia;
2458644.423;18.5;0.0;;G_Gaia;
2458644.497;18.52;0.0;;G_Gaia;
2458644.673;18.5;0.0;;G_Gaia;
2458644.747;18.5;0.0;;G_Gaia;
2458668.751;18.45;0.0;;G_Gaia;
2458668.927;18.52;0.0;;G_Gaia;
2458681.555;18.46;0.0;;G_Gaia;
2458681.731;18.51;0.0;;G_Gaia;
2458717.877;18.39;0.0;;G_Gaia;
2458754.941;18.09;0.0;;G_Gaia;
2458755.117;18.07;0.0;;G_Gaia;
2458776.889;17.59;0.0;;G_Gaia;
2458776.963;17.59;0.0;;G_Gaia;
2458777.139;17.58;0.0;;G_Gaia;
2458777.213;17.59;0.0;;G_Gaia;
2458829.544;17.61;0.0;;G_Gaia;
2458829.721;17.62;0.0;;G_Gaia;
2458836.1530466;19.16200065612793;0.1680248502142597;;G;
2458836.1623978;19.04610061645508;0.1669818184569644;;G;
2458845.1402054;18.97170066833496;0.3171384363057833;;G;
2458852.498;18.07;0.0;;G_Gaia;
2458852.572;18.05;0.0;;G_Gaia;
2458886.061;18.29;0.0;;G_Gaia;
2458897.2058751;18.7775993347168;0.4298212293192828;;G;
2458900.0954339;18.94359970092773;0.3098772858289545;;G;
2458906.0381183;18.90719985961914;0.2657927869291513;;G;
2458921.466;18.41;0.0;;G_Gaia;
2458939.164;18.49;0.0;;G_Gaia;
