JD;Magnitude;Error;Facility;Filter;Owner
2457033.691;18.65;0.0;;G_Gaia;
2457033.765;18.62;0.0;;G_Gaia;
2457135.153;18.65;0.0;;G_Gaia;
2457135.227;18.62;0.0;;G_Gaia;
2457135.403;18.64;0.0;;G_Gaia;
2457261.148;18.66;0.0;;G_Gaia;
2457313.622;18.66;0.0;;G_Gaia;
2457313.696;18.59;0.0;;G_Gaia;
2457407.306;18.65;0.0;;G_Gaia;
2457422.56;18.66;0.0;;G_Gaia;
2457457.534;18.64;0.0;;G_Gaia;
2457497.194;18.65;0.0;;G_Gaia;
2457509.025;18.65;0.0;;G_Gaia;
2457509.201;18.64;0.0;;G_Gaia;
2457582.71;18.64;0.0;;G_Gaia;
2457582.784;18.63;0.0;;G_Gaia;
2457637.445;18.61;0.0;;G_Gaia;
2457637.519;18.62;0.0;;G_Gaia;
2457675.159;18.62;0.0;;G_Gaia;
2457801.657;18.65;0.0;;G_Gaia;
2457833.64;18.62;0.0;;G_Gaia;
2457958.389;18.64;0.0;;G_Gaia;
2457982.316;18.6;0.0;;G_Gaia;
2458013.55;18.61;0.0;;G_Gaia;
2458055.329;18.61;0.0;;G_Gaia;
2458055.579;18.64;0.0;;G_Gaia;
2458055.756;18.64;0.0;;G_Gaia;
2458061.008;18.34;0.0;;G_Gaia;
2458209.866;18.61;0.0;;G_Gaia;
2458389.345;18.64;0.0;;G_Gaia;
2458389.419;18.66;0.0;;G_Gaia;
2458532.248;18.64;0.0;;G_Gaia;
2458585.739;18.64;0.0;;G_Gaia;
2458585.915;18.63;0.0;;G_Gaia;
2458891.816;18.63;0.0;;G_Gaia;
2458891.89;18.61;0.0;;G_Gaia;
2459054.257;18.29;0.0;;G_Gaia;
2459054.433;18.3;0.0;;G_Gaia;
2459054.507;18.25;0.0;;G_Gaia;
2459066.113;18.13;0.0;;G_Gaia;
2459094.604;17.43;0.0;;G_Gaia;
2459120.918;16.53;0.0;;G_Gaia;
2459202.84879628;16.153892517089844;0.4871303225201609;PROMPT5 & Apogee CCD, Staszek Zola;J(2MASS);PROMPT5 & Apogee CCD, Staszek Zola
2459204.84951389;16.52227783203125;0.3232285958947899;PROMPT5 & Apogee CCD, Staszek Zola;J(2MASS);PROMPT5 & Apogee CCD, Staszek Zola
2459226.86204863;16.179079055786133;0.2839731947050798;PROMPT5 & Apogee CCD, Staszek Zola;J(2MASS);PROMPT5 & Apogee CCD, Staszek Zola
