JD;Magnitude;Error;Facility;Filter;Owner
2459073.093003;18.849069595336918;0.2783598860417638;Tomo-e Gozen 1.05 Kiso, Akihiko Fukui;r(APASS);Tomo-e Gozen 1.05 Kiso, Akihiko Fukui
2459078.998011;18.65467643737793;0.3088944127543191;Tomo-e Gozen 1.05 Kiso, Akihiko Fukui;r(APASS);Tomo-e Gozen 1.05 Kiso, Akihiko Fukui
2459079.149396;19.14748954772949;0.3424461419071258;Tomo-e Gozen 1.05 Kiso, Akihiko Fukui;r(APASS);Tomo-e Gozen 1.05 Kiso, Akihiko Fukui
2459080.116508;19.403823852539062;0.3836935622510736;Tomo-e Gozen 1.05 Kiso, Akihiko Fukui;r(APASS);Tomo-e Gozen 1.05 Kiso, Akihiko Fukui
2459080.97445;19.03067398071289;0.2834137993575963;Tomo-e Gozen 1.05 Kiso, Akihiko Fukui;r(APASS);Tomo-e Gozen 1.05 Kiso, Akihiko Fukui
2459134.923198;18.52254676818848;0.2487671014072033;Tomo-e Gozen 1.05 Ki;r(APASS);Tomo-e Gozen 1.05 Ki
2459281.0092291;17.154207229614258;0.0581985571404639;LCOGT1m, Etienne Bachelet;i(APASS);LCOGT1m, Etienne Bachelet
2459283.2924364;17.11503791809082;0.0598359619929962;LCOGT1m, Etienne Bachelet;i(APASS);LCOGT1m, Etienne Bachelet
2459285.6471665;17.141796112060547;0.0557835627620982;LCOGT1m, Etienne Bachelet;i(APASS);LCOGT1m, Etienne Bachelet
2459286.8993849;17.07468605041504;0.0531380911826215;LCOGT1m, Etienne Bac;i(APASS);LCOGT1m, Etienne Bac
2459286.9029373;17.083635330200195;0.0525628321991661;LCOGT1m, Etienne Bachelet;i(APASS);LCOGT1m, Etienne Bachelet
2459287.8889941;17.094905853271484;0.0562068446265539;LCOGT1m, Etienne Bachelet;i(APASS);LCOGT1m, Etienne Bachelet
2459287.8909267;19.662595748901367;0.0440756639023777;LCOGT1m, Etienne Bachelet;g(APASS);LCOGT1m, Etienne Bachelet
2459289.885675;17.03376007080078;0.0550695361389729;LCOGT1m, Etienne Bachelet;i(APASS);LCOGT1m, Etienne Bachelet
2459290.734284;17.981327056884766;0.1362231649511635;Liam Hardy pt5m;r(APASS);Liam Hardy pt5m
2459290.8838341;16.987083435058594;0.051129681939706;LCOGT1m, Etienne Bachelet;i(APASS);LCOGT1m, Etienne Bachelet
2459290.8856682;19.492401123046875;0.0468524497000545;LCOGT1m, Etienne Bachelet;g(APASS);LCOGT1m, Etienne Bachelet
2459291.6329683;17.045019149780273;0.0554176047935048;LCOGT1m, Etienne Bachelet;i(APASS);LCOGT1m, Etienne Bachelet
2459292.6261513;16.997316360473633;0.0525493794844567;LCOGT1m, Etienne Bachelet;i(APASS);LCOGT1m, Etienne Bachelet
2459295.6355336;16.94968605041504;0.0564981870462037;LCOGT1m, Etienne Bachelet;i(APASS);LCOGT1m, Etienne Bachelet
2459295.6393915;19.47381401062012;0.0421105053054379;LCOGT1m, Etienne Bachelet;g(APASS);LCOGT1m, Etienne Bachelet
2459296.6357495;16.899782180786133;0.0549802488709426;LCOGT1m, Etienne Bac;i(APASS);LCOGT1m, Etienne Bac
2459297.298128;18.278779983520508;0.2908574156769484;Tomo-e Gozen 1.05 Kiso, Akihiko Fukui;r(APASS);Tomo-e Gozen 1.05 Kiso, Akihiko Fukui
2459300.8580068;16.82480812072754;0.0576224014181275;LCOGT1m, Etienne Bachelet;i(APASS);LCOGT1m, Etienne Bachelet
2459300.8618677;19.212514877319336;0.0655694777516674;LCOGT1m, Etienne Bachelet;g(APASS);LCOGT1m, Etienne Bachelet
2459301.2434177;16.8200740814209;0.0535260968855282;LCOGT1m, Etienne Bachelet;i(APASS);LCOGT1m, Etienne Bachelet
2459301.9064639;16.799240112304688;0.0515795658229381;LCOGT1m, Etienne Bac;i(APASS);LCOGT1m, Etienne Bac
