JD;Magnitude;Error;Facility;Filter;Owner
2459516.47845784;18.116146087646484;0.0638299387851715;Loiano, Alessia Garofalo;V(APASS);Loiano, Alessia Garofalo
2459516.4816427;17.829883575439453;0.0495846883405177;Loiano, Alessia Garofalo;r(APASS);Loiano, Alessia Garofalo
2459516.48481596;17.511507034301758;0.0499816127633135;Loiano, Alessia Garofalo;i(APASS);Loiano, Alessia Garofalo
2459516.48733468;18.11126708984375;0.0709859918354038;Loiano, Alessia Garofalo;V(APASS);Loiano, Alessia Garofalo
2459516.49049887;17.72902488708496;0.0933709682954613;Loiano, Alessia Garofalo;r(APASS);Loiano, Alessia Garofalo
2459516.49368613;17.515865325927734;0.0642533074719007;Loiano, Alessia Garofalo;i(APASS);Loiano, Alessia Garofalo
2459516.49619441;18.10912132263184;0.0521613215332597;Loiano, Alessia Garofalo;V(APASS);Loiano, Alessia Garofalo
2459516.49938197;17.744173049926758;0.1001952458586511;Loiano, Alessia Garofalo;r(APASS);Loiano, Alessia Garofalo
2459516.50255816;17.483741760253906;0.0519901452939917;Loiano, Alessia Garofalo;i(APASS);Loiano, Alessia Garofalo
2459586.34170145;18.76630401611328;0.1069571214898221;HAO68_G2-1600, Jan Kare Trandem Qvam;B(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
2459586.35340971;18.08031272888184;0.0846810594163213;HAO68_G2-1600, Jan Kare Trandem Qvam;V(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
2459586.3651157;17.75042152404785;0.0655426273739019;HAO68_G2-1600, Jan Kare Trandem Qvam;r(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
2459586.37680554;17.47936248779297;0.0867546211444465;HAO68_G2-1600, Jan Kare Trandem Qvam;i(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
2459610.28013891;18.805721282958984;0.0996020867340558;HAO68_G2-1600, Jan Kare Trandem Qvam;B(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
2459610.29124999;18.016868591308597;0.0798342793776502;HAO68_G2-1600, Jan Kare Trandem Qvam;V(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
2459610.30178237;17.76934242248535;0.0651906160345183;HAO68_G2-1600, Jan Kare Trandem Qvam;r(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
2459611.2958796;17.4324893951416;0.1265535001621277;HAO68_G2-1600, Jan Kare Trandem Qvam;i(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
2459636.27574068;18.921342849731445;0.0964044678873132;HAO68_G2-1600, Jan Kare Trandem Qvam;B(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
2459636.294375;18.026084899902344;0.0756229756686366;HAO68_G2-1600, Jan Kare Trandem Qvam;V(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
2459636.31070596;17.747610092163086;0.0666674213801444;HAO68_G2-1600, Jan Kare Trandem Qvam;r(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
2459636.32703704;17.44051170349121;0.1067503553992936;HAO68_G2-1600, Jan Kare Trandem Qvam;i(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
2459658.30978012;18.78485107421875;0.1021460288611302;HAO68_G2-1600, Jan Kare Trandem Qvam;B(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
2459658.32032412;18.05582618713379;0.0784302196063543;HAO68_G2-1600, Jan Kare Trandem Qvam;V(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
2459658.32968754;17.85392189025879;0.1512924530536782;HAO68_G2-1600, Jan Kare Trandem Qvam;r(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
2459658.33905095;17.54513931274414;0.0937034867358142;HAO68_G2-1600, Jan Kare Trandem Qvam;i(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
2459661.35271996;18.349794387817383;0.1132393689293061;HAO68_G2-1600, Jan Kare Trandem Qvam;g(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
2459661.35271996;18.853918075561523;0.1198115170142597;HAO68_G2-1600, Jan Kare Trandem Qvam;B(APASS);HAO68_G2-1600, Jan Kare Trandem Qvam
