JD;Magnitude;Error;Facility;Filter;Owner
2459430.42326084;14.498241424560549;0.0606743240076324;Moletai0.35-Erika Pakstiene;r(APASS);Moletai0.35-Erika Pakstiene
2459430.43132292;14.478679656982422;0.0698832798984324;Moletai0.35-Erika Pakstiene;r(APASS);Moletai0.35-Erika Pakstiene
2459430.43767921;14.683222770690918;0.0866823745738803;Moletai0.35-Erika Pakstiene;V(APASS);Moletai0.35-Erika Pakstiene
2459430.44406812;14.285249710083008;0.1221972739739324;Moletai0.35-Erika Pakstiene;i(APASS);Moletai0.35-Erika Pakstiene
2459432.37052354;14.370058059692385;0.0631429036391375;Moletai0.35-Erika Pakstiene;r(APASS);Moletai0.35-Erika Pakstiene
2459432.37687861;14.584927558898926;0.0741235756936378;Moletai0.35-Erika Pakstiene;V(APASS);Moletai0.35-Erika Pakstiene
2459432.38326764;14.095717430114746;0.1090839281058936;Moletai0.35-Erika Pakstiene;i(APASS);Moletai0.35-Erika Pakstiene
2459436.39368948;14.183823585510254;0.0665260697771652;Moletai0.35-Erika Pakstiene;r(APASS);Moletai0.35-Erika Pakstiene
2459436.40113553;14.177016258239746;0.0753872203212787;Moletai0.35-Erika Pakstiene;r(APASS);Moletai0.35-Erika Pakstiene
2459436.40749153;14.382598876953123;0.0857472016122002;Moletai0.35-Erika Pakstiene;V(APASS);Moletai0.35-Erika Pakstiene
2459436.41388044;13.9527587890625;0.1067114972610767;Moletai0.35-Erika Pakstiene;i(APASS);Moletai0.35-Erika Pakstiene
2459437.41184026;14.34256362915039;0.0761597460430855;Astrolab-IRIS_SBIG, Franky Dubois;V(APASS);Astrolab-IRIS_SBIG, Franky Dubois
2459437.4130671;15.052217483520508;0.0755734800922879;Astrolab-IRIS_SBIG, Franky Dubois;B(APASS);Astrolab-IRIS_SBIG, Franky Dubois
2459437.41430551;14.143547058105469;0.0652906985617249;Astrolab-IRIS_SBIG, Franky Dubois;r(APASS);Astrolab-IRIS_SBIG, Franky Dubois
2459437.41554397;13.90151596069336;0.0685162511591108;Astrolab-IRIS_SBIG, Franky Dubois;i(APASS);Astrolab-IRIS_SBIG, Franky Dubois
2459437.4157641;14.154057502746582;0.0628239506979316;Moletai0.35-Erika Pakstiene;r(APASS);Moletai0.35-Erika Pakstiene
2459437.42211829;14.364273071289062;0.0814070811459598;Moletai0.35-Erika Pakstiene;V(APASS);Moletai0.35-Erika Pakstiene
2459437.42850718;13.960415840148926;0.1280859037234804;Moletai0.35-Erika Pakstiene;i(APASS);Moletai0.35-Erika Pakstiene
2459438.03387;14.32;0.01;Slooh Canary Islands;R;Alessandro Odasso
2459438.6644517;13.919589042663574;0.0723760906962463;LCOGT1m, Etienne Bachelet;i(APASS);LCOGT1m, Etienne Bachelet
2459439.08266;14.38;0.02;Slooh Canary Islands;R;Alessandro Odasso
2459439.3159259;14.141684532165527;0.0724285029989559;ZAO_G2-1600, Charles Galdies;r(APASS);ZAO_G2-1600, Charles Galdies
2459439.32042819;14.106138229370115;0.0759049875092457;ZAO_G2-1600, Charles Galdies;r(APASS);ZAO_G2-1600, Charles Galdies
