hjd,camera,mag,mag_err,flux,flux_err
2458083.58856,bg,13.4,0.02188,16.742,0.337
2457282.78668,bg,13.408,0.02187,16.623,0.334
2456919.09487,bc,13.401,0.02188,16.827,0.339
2457786.75598,bc,13.396,0.02189,16.908,0.34
2457818.62588,bg,13.404,0.02187,16.683,0.336
2457765.82049,bc,13.447,0.02185,16.133,0.324
2457086.56419,be,13.419,0.02185,16.144,0.325
2457413.68151,bg,13.397,0.02188,16.791,0.338
2457287.77584,bg,13.454,0.02185,15.937,0.32
2457065.64988,be,13.409,0.02185,16.287,0.327
2457853.51573,bg,13.404,0.02187,16.682,0.336
2457377.72875,bg,13.409,0.02187,16.612,0.334
2457376.79348,bg,13.444,0.02185,16.087,0.323
2458086.65223,bg,13.452,0.02185,15.957,0.321
2457826.59778,bg,13.409,0.02187,16.608,0.334
2457018.91485,bc,13.422,0.02186,16.505,0.332
2456948.77261,be,13.402,0.02186,16.389,0.33
2457816.62843,bg,13.42,0.02186,16.442,0.331
2458372.80836,bg,13.405,0.02187,16.676,0.336
2457083.56489,be,13.407,0.02186,16.326,0.328
2458450.98591,bc,13.4,0.02188,16.832,0.339
2458023.8058,bg,13.398,0.02188,16.773,0.338
2457707.98229,bc,13.382,0.0219,17.128,0.345
2457616.8706,bg,13.419,0.02186,16.463,0.331
2458383.77944,bg,13.413,0.02186,16.547,0.333
2457761.81112,bc,13.404,0.02188,16.772,0.338
2457846.53973,bg,13.386,0.02189,16.97,0.342
2457994.83763,bg,13.43,0.02185,16.291,0.328
2457429.54801,bg,13.435,0.02185,16.208,0.326
2457387.80289,bg,13.408,0.02187,16.623,0.334
2457334.8109,bg,13.391,0.02188,16.878,0.34
2457959.91885,bg,13.38,0.0219,17.061,0.344
2457676.052,bc,13.413,0.02187,16.635,0.335
2457297.88147,bg,13.472,0.02185,15.667,0.315
2457345.74766,bg,13.401,0.02187,16.732,0.337
2458194.58465,bg,13.424,0.02186,16.375,0.329
2457475.52036,bg,13.405,0.02187,16.676,0.336
2457317.71459,bg,13.426,0.02186,16.344,0.329
2457828.59207,bg,13.43,0.02185,16.292,0.328
2456638.82605,bc,13.413,0.02187,16.64,0.335
2456874.8926,be,13.401,0.02186,16.416,0.33
2458039.82126,bg,13.38,0.0219,17.062,0.344
2457468.57572,bg,13.387,0.02189,16.951,0.341
2456930.80666,be,13.373,0.02188,16.842,0.339
2456642.87981,bc,13.411,0.02187,16.667,0.335
2457622.85719,bg,13.413,0.02186,16.549,0.333
2456863.92629,be,13.41,0.02185,16.281,0.327
2457033.6645,be,13.407,0.02186,16.315,0.328
2457466.58324,bg,13.41,0.02187,16.599,0.334
2458231.47352,bg,13.417,0.02186,16.493,0.332
2457970.89936,bg,13.388,0.02189,16.931,0.341
2457660.78676,bg,13.403,0.02187,16.693,0.336
2458104.8144,bg,13.391,0.02188,16.881,0.34
2457590.92689,bg,13.6,0.02199,13.929,0.282
2457021.69648,be,13.419,0.02185,16.143,0.325
2457601.90981,bg,13.413,0.02186,16.547,0.333
2458320.92505,bg,13.379,0.0219,17.08,0.344
