# hjd             mag      mag_err  
  2458225.65183   14.433   0.02868  
  2457831.61125   14.419   0.02847  
  2458210.66546   14.349   0.02751  
  2457460.59814   14.388   0.02804  
  2457684.82304   14.391   0.02808  
  2457790.6085    14.407   0.0283   
  2457783.62821   14.399   0.02819  
  2457867.61653   14.429   0.02862  
  2457758.79771   14.423   0.02853  
  2458199.71852   14.392   0.02809  
  2457843.64022   14.425   0.02856  
  2457436.77439   14.367   0.02775  
  2457477.54111   14.415   0.02841  
  2458195.73745   14.438   0.02875  
  2458127.71824   14.422   0.02852  
  2458073.75225   14.404   0.02826  
  2457801.69578   14.425   0.02856  
  2457834.58448   14.4     0.0282   
  2458365.90411   14.481   0.0294   
  2457750.61162   14.392   0.02809  
  2458083.79875   14.436   0.02872  
  2458124.73386   14.429   0.02862  
  2458207.70482   14.422   0.02852  
  2458197.72813   14.38    0.02792  
  2457701.80885   14.355   0.02759  
  2458194.73861   14.38    0.02792  
  2457546.44888   14.415   0.02841  
  2457446.56371   14.262   0.02643  
  2458108.79873   14.388   0.02804  
  2458230.64073   14.364   0.02771  
  2457451.73898   14.306   0.02696  
  2458148.81174   14.347   0.02748  
  2457914.48337   14.408   0.02832  
  2457728.71874   14.398   0.02817  
  2457753.62385   14.388   0.02804  
  2457426.79156   14.304   0.02693  
  2457794.57387   14.351   0.02754  
  2457457.68787   14.36    0.02765  
  2458198.72328   14.44    0.02878  
  2457441.67549   14.317   0.0271   
  2457789.74126   14.405   0.02827  
  2458056.76778   14.415   0.02841  
  2458192.7401    14.393   0.0281   
  2457466.72544   14.275   0.02658  
  2458178.7755    14.405   0.02827  
  2457845.61001   14.381   0.02794  
  2458206.66922   14.398   0.02817  
  2458196.72895   14.391   0.02808  
  2457829.59727   14.382   0.02795  
  2457475.61862   14.367   0.02775  
  2457629.91017   14.427   0.02859  
  2457444.65728   14.31    0.02701  
  2457647.88546   14.331   0.02728  
  2458136.81993   14.423   0.02853  
  2458189.72296   14.404   0.02826  
  2458143.56941   14.434   0.02869  
  2458186.61353   14.437   0.02873  
  2457469.67728   14.363   0.02769  
  2457838.61442   14.435   0.0287   
  2458182.58213   14.434   0.02869  
  2457447.77605   14.295   0.02682  
  2458158.7489    14.404   0.02826  
  2458204.71165   14.397   0.02816  
  2458360.91386   14.404   0.02826  
  2457699.7362    14.392   0.02809  
  2458171.62628   14.402   0.02823  
  2457422.70661   14.317   0.0271   
  2458190.72649   14.421   0.0285   
  2457690.75948   14.4     0.0282   
  2458229.64378   14.351   0.02754  
  2457916.4631    14.413   0.02839  
  2457848.67759   14.392   0.02809  
  2458123.76766   14.448   0.0289   
  2458223.65655   14.433   0.02868  
  2458183.56559   14.418   0.02846  
  2458055.81633   14.415   0.02841  
  2458072.75665   14.44    0.02878  
  2458244.59874   14.419   0.02847  
  2458081.72161   14.405   0.02827  
  2457786.60644   14.391   0.02808  
  2458011.88137   14.414   0.0284   
  2458157.83272   14.414   0.0284   
  2457774.76589   14.404   0.02826  
  2458169.59326   14.374   0.02784  
  2458094.81765   14.406   0.02829  
  2457671.82511   14.387   0.02802  
  2457777.61116   14.381   0.02794  
  2457439.55002   14.308   0.02698  
  2457526.5583    14.448   0.0289   
  2458029.82764   14.424   0.02854  
  2458085.67906   14.396   0.02815  
  2457760.62422   14.396   0.02815  
  2457826.60378   14.368   0.02776  
  2458128.74518   14.393   0.0281   
  2458238.55582   14.484   0.02945  
  2458208.51245   14.383   0.02797  
  2457458.64152   14.314   0.02706  
  2458022.85294   14.414   0.0284   
  2457720.69473   14.382   0.02795  
  2458243.59462   14.428   0.0286   
  2457631.90312   14.408   0.02832  
  2458200.72144   14.376   0.02787  
  2458167.57893   14.417   0.02844  
  2458077.77888   14.431   0.02865  
  2457836.69159   14.38    0.02792  
  2458220.66657   14.372   0.02782  
  2457698.80443   14.38    0.02792  
  2458233.55024   14.409   0.02833  
  2457887.56759   14.391   0.02808  
  2458142.61172   14.435   0.0287   
  2458228.64037   14.405   0.02827  
  2458017.86395   14.412   0.02837  
  2457713.73016   14.395   0.02813  
  2458088.69955   14.425   0.02856  
  2457800.74396   14.388   0.02804  
  2457663.83114   14.409   0.02833  
  2458038.8831    14.416   0.02843  
  2458264.47358   14.465   0.02915  
  2457855.56792   14.403   0.02824  
  2458039.86835   14.433   0.02868  
  2457883.57684   14.371   0.0278   
  2458172.68989   14.439   0.02876  
  2457742.6665    14.389   0.02805  
  2458019.86861   14.421   0.0285   
  2457864.55304   14.391   0.02808  
  2457824.6564    14.449   0.02891  
  2457818.76135   14.409   0.02833  
  2458226.65126   14.389   0.02805  
  2457695.81244   14.376   0.02787  
  2458175.65312   14.401   0.02822  
  2457423.53741   14.361   0.02767  
  2457427.73889   14.374   0.02784  
  2457994.9136    14.449   0.02891  
  2458215.66676   14.405   0.02827  
  2457650.86701   14.382   0.02795  
  2458125.74163   14.411   0.02836  
  2457721.74816   14.335   0.02733  
  2458213.49653   14.402   0.02823  
