HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457812.88968,2017-02-28.3926232,bf,1.74,16.128,>16.128,99.990,-0.452,0.272,V
2457812.89099,2017-02-28.3939327,bf,1.81,16.251,>16.251,99.990,-0.123,0.242,V
2457812.89230,2017-02-28.3952430,bf,1.76,16.211,>16.211,99.990,-0.404,0.252,V
2457813.88902,2017-03-01.3918826,bf,1.66,16.303,>16.303,99.990,-0.529,0.231,V
2457813.89034,2017-03-01.3931980,bf,1.68,16.244,>16.244,99.990,-0.183,0.244,V
2457813.89159,2017-03-01.3944574,bf,1.66,16.298,>16.298,99.990,-0.137,0.232,V
2457816.89074,2017-03-04.3933534,be,1.46,16.297,>16.297,99.990,-0.496,0.232,V
2457816.89204,2017-03-04.3946555,be,1.41,16.188,>16.188,99.990,-0.105,0.257,V
2457816.89336,2017-03-04.3959768,be,1.48,16.263,>16.263,99.990,-0.550,0.240,V
2457818.87690,2017-03-06.3793461,bf,1.66,16.467,>16.467,99.990,-0.294,0.199,V
2457818.87828,2017-03-06.3807239,bf,1.51,16.648,>16.648,99.990,-0.174,0.168,V
2457818.87958,2017-03-06.382025,bf,1.61,16.566,>16.566,99.990,-0.248,0.181,V
2457819.87250,2017-03-07.3748626,bf,1.52,16.920,>16.920,99.990,-0.338,0.131,V
2457819.87406,2017-03-07.3764171,bf,1.51,16.715,>16.715,99.990,0.081,0.158,V
2457822.85443,2017-03-10.3565315,be,1.40,16.022,>16.022,99.990,-0.856,0.299,V
2457822.85574,2017-03-10.3578421,be,1.46,15.941,>15.941,99.990,-0.356,0.323,V
2457822.85706,2017-03-10.3591646,be,1.44,16.071,>16.071,99.990,-0.584,0.286,V
2457824.84894,2017-03-12.3508583,be,1.41,15.409,>15.409,99.990,0.349,0.526,V
2457824.85025,2017-03-12.3521761,be,1.52,15.407,>15.407,99.990,-0.979,0.528,V
2457824.85155,2017-03-12.3534737,be,1.50,15.455,>15.455,99.990,-0.887,0.505,V
2457825.87875,2017-03-13.3805747,bf,1.49,15.827,>15.827,99.990,-0.698,0.358,V
2457825.88004,2017-03-13.3818734,bf,1.53,15.950,>15.950,99.990,-0.722,0.320,V
2457826.86320,2017-03-14.3649425,be,1.51,15.756,>15.756,99.990,-0.784,0.383,V
2457826.86452,2017-03-14.3662641,be,1.41,15.592,>15.592,99.990,-0.466,0.445,V
2457826.86583,2017-03-14.3675754,be,1.42,15.617,>15.617,99.990,-0.784,0.435,V
2457826.86716,2017-03-14.3689048,bf,1.49,15.983,>15.983,99.990,0.298,0.310,V
2457826.86846,2017-03-14.3702032,bf,1.48,15.998,>15.998,99.990,-0.713,0.306,V
2457827.91179,2017-03-15.4134318,bf,1.70,15.480,>15.480,99.990,-0.567,0.493,V
2457827.91310,2017-03-15.4147454,bf,1.64,15.333,>15.333,99.990,-1.781,0.565,V
2457828.86066,2017-03-16.3622189,bf,1.51,16.079,>16.079,99.990,0.402,0.284,V
2457828.86197,2017-03-16.3635299,bf,1.50,15.926,>15.926,99.990,-0.017,0.327,V
2457828.86327,2017-03-16.3648278,bf,1.50,15.908,>15.908,99.990,-0.018,0.333,V
2457828.86461,2017-03-16.3661687,be,1.52,15.760,>15.760,99.990,-0.062,0.381,V
2457828.86592,2017-03-16.3674778,be,1.40,15.744,>15.744,99.990,-1.036,0.387,V
2457828.86722,2017-03-16.3687790,be,1.52,15.702,>15.702,99.990,-0.020,0.402,V
2457830.88985,2017-03-18.3912217,bf,1.50,16.067,>16.067,99.990,-0.207,0.287,V
2457830.89116,2017-03-18.3925288,bf,1.47,16.057,>16.057,99.990,0.815,0.290,V
2457830.89246,2017-03-18.3938307,bf,1.36,16.073,>16.073,99.990,-0.206,0.286,V
2457831.84750,2017-03-19.3487796,be,1.50,15.787,>15.787,99.990,-0.515,0.372,V
2457831.84881,2017-03-19.3500868,be,1.49,15.723,>15.723,99.990,-0.758,0.394,V
2457831.85012,2017-03-19.3514023,be,1.54,15.678,>15.678,99.990,-0.856,0.411,V
2457836.89724,2017-03-24.3980474,bf,1.55,16.454,>16.454,99.990,-0.147,0.201,V
2457836.89854,2017-03-24.3993498,bf,1.59,16.381,>16.381,99.990,-0.277,0.215,V
2457836.89985,2017-03-24.4006621,bf,1.54,16.617,>16.617,99.990,0.004,0.173,V
2457837.87080,2017-03-25.3715133,bf,1.78,16.458,>16.458,99.990,-0.008,0.200,V
2457837.90828,2017-03-25.4089915,be,1.66,15.991,>15.991,99.990,-0.334,0.308,V
2457837.90959,2017-03-25.4103025,be,1.60,15.894,>15.894,99.990,-0.197,0.337,V
2457837.91089,2017-03-25.4116087,be,1.60,15.912,>15.912,99.990,-0.304,0.331,V
2457838.86889,2017-03-26.3695089,bf,1.77,16.492,>16.492,99.990,-0.483,0.194,V
2457838.87019,2017-03-26.3708093,bf,1.64,16.624,>16.624,99.990,-0.228,0.172,V
2457839.81403,2017-03-27.3145631,be,1.38,16.133,>16.133,99.990,-0.437,0.270,V
2457839.81547,2017-03-27.3159983,be,1.47,16.133,>16.133,99.990,0.043,0.270,V
2457839.81690,2017-03-27.3174376,be,1.44,16.274,>16.274,99.990,-0.493,0.237,V
2457839.87153,2017-03-27.3720496,bf,1.47,16.743,>16.743,99.990,0.108,0.154,V
2457839.87296,2017-03-27.3734855,bf,1.54,16.539,>16.539,99.990,-0.346,0.186,V
2457840.82982,2017-03-28.3302523,bf,1.57,16.564,>16.564,99.990,-0.208,0.182,V
2457840.83353,2017-03-28.3339592,bf,1.59,16.762,>16.762,99.990,0.191,0.151,V
2457840.83724,2017-03-28.3376690,bf,1.53,16.621,>16.621,99.990,-0.109,0.172,V
2457843.80854,2017-03-31.3086914,be,1.54,16.441,>16.441,99.990,-0.730,0.204,V
2457843.80980,2017-03-31.3099561,be,1.61,16.241,>16.241,99.990,-0.900,0.245,V
2457843.81112,2017-03-31.3112648,be,1.56,16.111,>16.111,99.990,-0.443,0.276,V
2457844.87531,2017-04-01.3753652,bf,1.72,16.490,>16.490,99.990,-0.481,0.195,V
2457844.87662,2017-04-01.3766715,bf,1.61,16.429,>16.429,99.990,-0.051,0.206,V
2457844.87793,2017-04-01.3779813,bf,1.64,16.620,>16.620,99.990,-0.110,0.173,V
2457845.81530,2017-04-02.3152572,be,1.66,16.100,>16.100,99.990,-0.331,0.279,V
2457845.81661,2017-04-02.3165707,be,1.74,16.140,>16.140,99.990,-0.006,0.269,V
2457845.81792,2017-04-02.3178799,be,1.75,16.151,>16.151,99.990,-0.394,0.266,V
2457847.86918,2017-04-04.3689504,bf,1.76,16.503,>16.503,99.990,-0.082,0.192,V
2457847.87048,2017-04-04.3702420,bf,1.66,16.490,>16.490,99.990,-0.426,0.195,V
2457847.87177,2017-04-04.3715372,bf,1.66,16.433,>16.433,99.990,-0.613,0.205,V
2457848.82683,2017-04-05.3264969,be,1.58,16.143,>16.143,99.990,-0.863,0.268,V
2457848.82812,2017-04-05.3277949,be,1.57,16.079,>16.079,99.990,0.156,0.284,V
2457848.82945,2017-04-05.3291201,be,1.55,16.055,>16.055,99.990,0.250,0.290,V
2457851.79457,2017-04-08.2939629,be,1.64,15.742,>15.742,99.990,-0.447,0.387,V
2457851.79584,2017-04-08.2952283,be,1.84,15.702,>15.702,99.990,-0.666,0.402,V
2457851.79710,2017-04-08.2964918,be,1.78,15.678,>15.678,99.990,-0.239,0.411,V
2457851.81770,2017-04-08.3170824,bf,1.78,15.977,>15.977,99.990,-0.827,0.312,V
2457851.81895,2017-04-08.3183363,bf,1.85,16.231,>16.231,99.990,-0.700,0.247,V
2457852.79892,2017-04-09.2982155,bf,2.47,15.740,>15.740,99.990,0.032,0.388,V
2457853.77063,2017-04-10.2698266,be,1.67,15.696,>15.696,99.990,0.097,0.404,V
2457853.77189,2017-04-10.2710964,be,1.62,15.454,>15.454,99.990,0.293,0.505,V
2457853.77316,2017-04-10.2723605,be,1.58,15.478,>15.478,99.990,-0.559,0.494,V
2457854.79634,2017-04-11.2954445,bf,1.53,15.787,>15.787,99.990,0.331,0.372,V
2457854.79759,2017-04-11.2967012,bf,1.44,15.711,>15.711,99.990,-0.365,0.399,V
2457854.79886,2017-04-11.2979628,bf,1.47,15.910,>15.910,99.990,-0.297,0.332,V
2457855.76969,2017-04-12.2687056,be,1.40,15.387,>15.387,99.990,-1.075,0.537,V
2457855.77096,2017-04-12.269975,be,1.36,15.423,>15.423,99.990,-0.677,0.520,V
2457855.77223,2017-04-12.2712377,be,1.47,15.552,>15.552,99.990,-0.621,0.462,V
2457856.78739,2017-04-13.2863038,bf,1.43,15.860,>15.860,99.990,-0.398,0.348,V
2457856.78866,2017-04-13.2875765,bf,1.53,16.030,>16.030,99.990,-0.413,0.297,V
2457856.78992,2017-04-13.2888387,bf,1.52,15.976,>15.976,99.990,0.008,0.312,V
2457857.82051,2017-04-14.3193282,be,1.50,14.630,>14.630,99.990,-0.945,1.079,V
2457857.82178,2017-04-14.3205966,be,1.44,15.083,>15.083,99.990,-0.719,0.711,V
2457857.82304,2017-04-14.3218572,be,1.43,14.952,>14.952,99.990,0.382,0.802,V
2457858.75924,2017-04-15.2579719,be,1.52,15.091,>15.091,99.990,0.457,0.705,V
2457858.76051,2017-04-15.2592457,be,1.55,15.164,>15.164,99.990,-0.673,0.660,V
2457858.76178,2017-04-15.2605077,be,1.57,15.691,>15.691,99.990,0.019,0.406,V
2457864.86948,2017-04-21.3676501,bf,1.39,16.664,>16.664,99.990,-0.452,0.166,V
2457864.87074,2017-04-21.3689141,bf,1.47,16.447,>16.447,99.990,-0.347,0.202,V
2457864.87201,2017-04-21.3701791,bf,1.43,16.441,>16.441,99.990,-0.586,0.203,V
2457865.91823,2017-04-22.4163040,be,1.55,16.034,>16.034,99.990,-0.225,0.296,V
2457865.91949,2017-04-22.4175708,be,1.56,16.169,>16.169,99.990,-0.529,0.261,V
2457865.92076,2017-04-22.4188340,be,1.65,16.222,>16.222,99.990,-0.693,0.249,V
2457866.81515,2017-04-23.3131444,bf,1.42,16.512,>16.512,99.990,-0.441,0.191,V
2457866.81641,2017-04-23.3144033,bf,1.40,16.670,>16.670,99.990,-0.341,0.165,V
2457866.81767,2017-04-23.3156743,bf,1.44,16.597,>16.597,99.990,-0.541,0.176,V
2457868.87127,2017-04-25.3690829,be,1.62,16.060,>16.060,99.990,-0.887,0.289,V
2457868.87289,2017-04-25.3707055,be,1.81,16.119,>16.119,99.990,0.009,0.274,V
2457870.72573,2017-04-27.2233826,be,1.69,16.176,>16.176,99.990,-0.295,0.260,V
2457870.72699,2017-04-27.2246473,be,1.66,16.105,>16.105,99.990,-0.392,0.277,V
2457870.72826,2017-04-27.2259134,be,1.73,16.148,>16.148,99.990,-0.899,0.267,V
2457870.75648,2017-04-27.2541293,bf,1.49,16.629,>16.629,99.990,-0.095,0.171,V
2457870.75775,2017-04-27.2553962,bf,1.43,16.566,>16.566,99.990,0.014,0.181,V
2457870.75900,2017-04-27.2566576,bf,1.44,16.605,>16.605,99.990,-0.264,0.175,V
2457871.87706,2017-04-28.3746105,bf,1.40,16.795,>16.795,99.990,-0.395,0.147,V
2457871.87832,2017-04-28.3758714,bf,1.44,16.745,>16.745,99.990,-0.176,0.154,V
2457871.87958,2017-04-28.3771337,bf,1.44,16.612,>16.612,99.990,-0.150,0.174,V
2457871.88087,2017-04-28.3784252,be,1.61,16.151,>16.151,99.990,-0.792,0.266,V
2457871.88213,2017-04-28.3796854,be,1.65,16.176,>16.176,99.990,-1.115,0.260,V
2457871.88340,2017-04-28.3809523,be,1.61,16.172,>16.172,99.990,-0.507,0.261,V
2457873.78449,2017-04-30.2818839,be,1.48,16.223,>16.223,99.990,-0.093,0.249,V
2457873.78576,2017-04-30.2831469,be,1.54,16.072,>16.072,99.990,-0.304,0.286,V
2457873.78701,2017-04-30.2844063,be,1.45,16.551,>16.551,99.990,-0.632,0.184,V
2457873.80755,2017-04-30.3049405,bf,1.42,16.609,>16.609,99.990,-0.105,0.174,V
2457873.80881,2017-04-30.3062006,bf,1.45,16.716,>16.716,99.990,-0.102,0.158,V
2457873.81008,2017-04-30.3074673,bf,1.42,16.577,>16.577,99.990,-0.303,0.179,V
2457877.71188,2017-05-04.2089454,be,1.52,16.212,>16.212,99.990,-0.277,0.251,V
2457877.71314,2017-05-04.2102101,be,1.52,16.070,>16.070,99.990,-0.126,0.286,V
2457877.71441,2017-05-04.2114730,be,1.49,15.943,>15.943,99.990,-0.234,0.322,V
2457877.73409,2017-05-04.2311552,bf,1.43,16.573,>16.573,99.990,-0.189,0.180,V
2457877.73535,2017-05-04.2324138,bf,1.43,16.565,>16.565,99.990,-0.115,0.181,V
2457877.73661,2017-05-04.2336738,bf,1.42,16.536,>16.536,99.990,-0.138,0.186,V
2457878.84314,2017-05-05.3401116,be,1.38,16.224,>16.224,99.990,-0.823,0.249,V
2457878.84440,2017-05-05.3413715,be,1.42,16.227,>16.227,99.990,-0.443,0.248,V
2457878.84566,2017-05-05.3426328,be,1.40,16.086,>16.086,99.990,-0.210,0.282,V
2457880.70295,2017-05-07.1997740,be,1.50,15.492,>15.492,99.990,0.079,0.488,V
2457880.70421,2017-05-07.2010378,be,1.61,15.687,>15.687,99.990,-1.212,0.408,V
2457880.70548,2017-05-07.2023109,be,1.47,15.715,>15.715,99.990,-0.622,0.397,V
2457880.73274,2017-05-07.2295681,bf,1.40,15.878,>15.878,99.990,0.257,0.342,V
2457880.73402,2017-05-07.2308394,bf,1.46,16.017,>16.017,99.990,-0.994,0.301,V
2457880.73528,2017-05-07.2321059,bf,1.53,16.078,>16.078,99.990,-0.464,0.284,V
2457882.91875,2017-05-09.4154083,be,1.45,16.239,>16.239,99.990,0.082,0.245,V
2457882.92002,2017-05-09.4166767,be,1.56,16.217,>16.217,99.990,-0.570,0.250,V
