#Name,RA,Dec,ZTFAlertName
Gaia18cdv,259.439520,-26.694480,ZTF18ablqlis
Gaia20cwd,291.637930,19.178680,ZTF20aaybkbm
Gaia18atk,275.159500,-18.661460,ZTF19aapqnis
Gaia18cgp,271.796840,-24.982320,ZTF18abfoulk
Gaia18chq,271.439100,-12.014550,ZTF18ablrdcc
Gaia18cib,279.114830,-16.578300,ZTF18abpfgwu
Gaia18cik,278.379880,-3.403250,ZTF18ablpewa
Gaia18cjh,285.338360,-11.404540,ZTF18absjezs
Gaia18cjk,283.788050,-6.663530,ZTF19aaqsfzf
Gaia18cmk,307.149380,22.830470,ZTF18abnbmsr
Gaia18cnm,275.878850,-7.332710,ZTF18absrimp
Gaia18dmf,295.484360,34.414550,ZTF18acdwhon
Gaia18dvi,297.879560,28.186980,ZTF18acfdjsr
Gaia19asx,289.114450,26.653550,ZTF19aamlgyh
Gaia19awc,273.900550,-2.256970,ZTF19aaonska
Gaia19bfn,103.703860,-23.820470,ZTF19aakpvad
Gaia19bjq,55.197570,57.955790,ZTF19aainwvb
Gaia19brt,297.706150,34.637350,ZTF19aavisrq
Gaia19bsy,296.908160,14.293200,ZTF18aczojlw
Gaia19bzf,290.663300,19.550410,ZTF19aatudnj
Gaia19cyv,318.263330,43.337630,ZTF19abftuld
Gaia19dae,309.034110,32.720890,ZTF19aavnrqt
Gaia19dak,302.365160,29.935880,ZTF19aavpwbe
Gaia19dke,291.494510,28.406860,ZTF18acdxana
Gaia19dqf,265.687240,-19.098420,ZTF19abelllw
Gaia19dqg,279.337150,-3.471500,ZTF19aamrekv
Gaia19dqm,290.517590,11.293140,ZTF18abcpzou
Gaia19drf,280.143120,-8.847600,ZTF19abqoegq
Gaia19drq,281.179500,-6.362490,ZTF19abdgzzo
Gaia19dsb,288.501500,5.203120,ZTF19aavtxjc
Gaia19dur,283.871730,-10.752030,ZTF19abcpukt
Gaia19dxg,285.545840,-2.919150,ZTF19acctqyc
Gaia19dyo,282.153070,-5.123440,ZTF19abtvtfc
Gaia19eca,272.202030,-24.882540,ZTF19abagvae
Gaia19enj,303.062730,34.970100,ZTF19abylddx
Gaia19epm,304.850300,33.006730,ZTF19abrhukn
Gaia19fhn,285.484700,1.550000,ZTF20abcpfpo
Gaia20bkt,259.055190,-18.102610,ZTF20aasvugc
Gaia20bml,319.616620,50.872680,ZTF19acxzbyj
Gaia20bua,268.760230,-22.097240,ZTF20abbbcsy
Gaia20bud,263.130430,-19.709800,ZTF20aawhupe
Gaia20bvc,276.977450,-16.834930,ZTF20aawidjb
Gaia20cnv,296.884180,23.510800,ZTF18acnwntv
Gaia20cnw,295.609950,20.543800,ZTF20aavtedl
Gaia20crp,286.655420,15.315840,ZTF20abprrct
Gaia20dtv,262.666900,-27.813160,ZTF20abfbnur
Gaia20dvc,264.989090,-16.435690,ZTF20abqcanu
Gaia20dvn,270.112690,-19.782710,ZTF20abkhfkb
Gaia20dwp,276.919190,-18.041270,ZTF20abgrpjg
Gaia20dxg,280.207640,-10.285630,ZTF20abkymiq
Gaia20ebu,324.577310,48.479240,ZTF20abvwhlb
Gaia20eha,301.549780,35.631690,ZTF20abxwenr
Gaia20erh,82.452710,15.428420,ZTF20abztmco
Gaia20euq,294.817800,-5.055420,ZTF20achpgdp
Gaia20fig,291.937820,-0.336340,ZTF20acjzftp
Gaia20fsn,291.911970,26.802920,ZTF20aculhzd
Gaia21ajp,319.659120,59.112840,ZTF20acqjshl
Gaia21anm,302.536830,36.942240,ZTF20acvazdi
Gaia21asq,293.341640,20.439000,ZTF21aagtzzg
Gaia21ats,295.637420,19.582630,ZTF21aaguapj
Gaia21auk,271.280290,-7.610010,ZTF21aajkflf
Gaia21auw,262.325900,-21.875290,ZTF21aawqeqn
Gaia21awj,275.663940,-12.235300,ZTF21aajjwoa
Gaia21axk,279.006690,-12.048480,ZTF21aaiuhqu
Gaia21ayh,281.624800,-13.064400,ZTF21aaiuhai
Gaia21azd,286.882500,-5.330420,ZTF21aahfznf
Gaia21azo,283.876470,-10.849600,ZTF21aaiugqi
Gaia21bbi,292.760860,19.242540,ZTF21aamabwa
Gaia21bde,286.303080,14.859980,ZTF21aaowecs
Gaia21bfr,281.534580,-10.207340,ZTF21aapwdxb
Gaia21brx,77.764950,24.428790,ZTF20acwivua
Gaia21bsg,262.756160,-21.401230,ZTF21aawqeqt
Gaia21cjc,289.161410,5.321480,ZTF21aaymbrh
Gaia21cki,288.965240,-7.211580,ZTF21aanfcmk
Gaia21ckj,283.345900,-1.235130,ZTF21aaxldzb
Gaia21cnn,286.642920,-10.009180,ZTF21abduvqo
Gaia21cqb,296.416360,25.152000,ZTF21aapvukm
Gaia21dls,293.757250,32.016070,ZTF21abotllt
Gaia21dnc,324.545060,26.466570,ZTF18abktckv
Gaia21dnd,303.392610,37.868930,ZTF20aayjpmz
Gaia21dpb,321.374540,46.419120,ZTF21abtulxp
Gaia21eak,274.889970,-18.366430,ZTF21abitsll
Gaia21eay,274.662160,-12.373170,ZTF21abihdde
Gaia21eaz,277.074770,-17.717220,ZTF21abmnkml
Gaia21ebw,282.566620,-13.658740,ZTF21abscqqf
Gaia21ecz,288.427040,4.915470,ZTF21abhqzzh
Gaia21eeb,294.286650,13.095760,ZTF21abouknq
Gaia21efs,307.424540,31.295250,ZTF21abqhbuh
Gaia21ehs,46.257140,58.863030,ZTF18actarbc
Gaia21eku,274.713690,-5.681750,ZTF21abrgqfr
Gaia21fjx,303.814010,22.449960,ZTF21acegeyw
Gaia21fka,300.285760,32.429550,ZTF18abrrrzz
Gaia21fkl,116.618240,-21.875560,ZTF21acnfrae
Gaia22atd,287.768750,10.609020,ZTF18abxxtyv
Gaia22ayk,310.998420,38.054320,ZTF22aagqbdz
Gaia22cez,297.917520,34.153860,ZTF22aagfshw
Gaia22cum,64.258360,58.396130,ZTF17aaaugfd
